id,writer
3595,"[b'Richard Price', b'Alexander Ignon']"
9308,"[b'David Zucker', b'Pat Proft', b'Robert LoCash']"
92381,"[b'Doug Ellin', b""Brian E. O'Neal"", b'Ben Morris']"
18555,[b'Elizabeth White']
12123,"[b'J. F. Lawton', b'Michael Bortman']"
10830,[b'Nicholas Kazan']
3573,[b'Douglas McGrath']
10546,[b'David S. Goyer']
18862,[]
31417,[]
9431,"[b'Gilbert Adler', b'A L Katz']"
124619,[]
297645,[]
48144,[]
46986,[]
144982,[]
47907,[b'Lee David Zlotoff']
10061,"[b'John Carpenter', b'Debra Hill', b'Kurt Russell']"
36266,[]
549,[]
10478,"[b'Ron Shelton', b'John Norville']"
66634,[b'Marc Rosenberg']
116690,[]
213917,[]
145925,[]
100914,[]
238,"[b'Francis Ford Coppola', b'Mario Puzo']"
